"Year","EEZ","EZnm","Days","ALBc","BETc","YFTc"
2000,"AS","American Samoa",2914.639,626,21,86
2000,"AU","Australia",11433.416,373.963635,751.578817,1784.056103
2000,"CN","China",4.287,1.234053,0.056009,0.578973
2000,"FJ","Fiji",9290.47,5350.9389,623.804898,2256.8703
2000,"FM","FSM",24684.53,139.965926,5879.613452,3837.453478
2000,"GL","Gilbert Islands",2663.189,24.727954,825.32595,2046.622018
2000,"H4","HS pocket H4",403.167,10.266,171.889,212.871
2000,"H5","HS pocket H5",1136.359,135.485283,493.99809,632.059944
2000,"HW","Hawaii",2840.368,164.061195,862.865684,187.08932
2000,"I1","HS1",22519.206,28.199969,5927.562746,5081.691361
2000,"I2","HS2",2528.373,492.008697,1346.515473,3103.757359
2000,"I3","HS3",12826.881,5699.601876,1676.815683,3246.68784
2000,"I4","HS4",37318.309,486.842843,13755.710709,11364.908307
2000,"I5","HS5",37592.954,805.166783,14175.845573,7799.352814
2000,"I6","HS6",46385.71,28247.54968,8480.543297,5812.513113
2000,"I7","HS7",10207.629,11164.161777,552.75294,180.531137
2000,"I8","HS8",443.701,564.104568,18.68775,88.592246
2000,"I9","HS9",42,26.655,0.95,2.469
2000,"ID","Indonesia",31293.25,0.06,4592.04,20434.22
2000,"JP","Japan",6101.716,887.113007,2583.238974,1160.128981
2000,"JT","Johnston",545.046,248.942406,105.207467,86.469053
2000,"KI","Kiribati",3.75,0,1,2
2000,"LN","Line Islands",10429.53,170.50406,5480.793132,2585.605652
2000,"MA","Mathew Hunter",22.011,3.788009,4.224696,0.70893
2000,"MH","Marshall Islands",2026.117,53.797938,840.769512,1157.703491
2000,"NC","New Caledonia",2986.18,892.348849,511.852593,249.108378
2000,"NF","Forfolk Island",81.651,1.65796,4.250608,3.413459
2000,"NR","Nauru",13.75,2,1,8
2000,"NZ","New Zealand",7751.919,1334.385911,409.889406,94.486382
2000,"PF","French Polynesia",7831.795,3461.093155,1614.906698,1539.901408
2000,"PG","PNG",3966.511,158.827371,186.919277,842.688627
2000,"PH","Philippines",2423.583,0,477.4,2159.4
2000,"PW","Palau",10090.948,8.996,1248.886437,741.696568
2000,"PX","Phoenix Islands",1891.128,73.520043,692.533984,896.632986
2000,"PY","Palmyra",756.068,0.416637,170.415978,480.135369
2000,"SB","Solomon Islands",1483.903,405.422317,475.016099,801.984709
2000,"TO","Tonga",1969.471,859.135307,119.517292,174.735447
2000,"TV","Tuvalu",1230.536,242.980044,314.876966,668.021937
2000,"TW","Taiwan",4815,543.5,1046,4188.5
2000,"VN","Vietnam",11581.25,10,2479,6776
2000,"VU","Vanuatu",2983.687,3114.636998,111.354438,608.715124
2000,"WS","Samoa",34217.806,4067,177,1120
2001,"AS","American Samoa",4945.799,3217.464918,74.832428,187.14613
2001,"AU","Australia",13697.603,580.991084,1292.694284,2794.792542
2001,"CK","Cook Islands",30.83,9.253236,1.167573,1.80495
2001,"CN","China",12.24,5.764017,0.385,2.630993
2001,"FJ","Fiji",12846.573,8013.102537,677.613534,2077.590665
2001,"FM","FSM",18135.993,45.304067,3567.271067,2093.347118
2001,"GL","Gilbert Islands",4294.776,70.559968,3152.569965,1738.89305
2001,"H4","HS pocket H4",293.937,21.354,146.975,78.669
2001,"H5","HS pocket H5",499.735,98.897891,204.271561,164.384098
2001,"HW","Hawaii",3711.566,260.502365,1085.748398,186.309152
2001,"I1","HS1",33452.957,47.123906,6624.065213,6806.57998
2001,"I2","HS2",2578.901,265.006651,1122.865806,1219.127832
2001,"I3","HS3",17676.33,5235.653335,2208.940899,3285.775116
2001,"I4","HS4",44332.082,3777.490276,15547.063443,9967.557243
2001,"I5","HS5",44838.74,3926.963233,14604.885362,8345.7201
2001,"I6","HS6",50719.314,23355.136814,8774.174274,6400.617347
2001,"I7","HS7",9279.724,17789.09037,967.886745,693.144373
2001,"I8","HS8",114.632,65.038634,3.950002,6.082223
2001,"I9","HS9",82.22,117.354578,2.625,3.090643
2001,"ID","Indonesia",28934.25,0,4235.173,18836.922
2001,"JP","Japan",5250.358,684.889005,1663.507014,1142.562991
2001,"JT","Johnston",662.799,339.940988,88.467656,59.283062
2001,"KI","Kiribati",2.5,0,0,2
2001,"LN","Line Islands",8441.274,482.245199,3860.087792,2839.704889
2001,"MA","Mathew Hunter",7.31,3.931835,1.285965,0.277522
2001,"MH","Marshall Islands",3140.044,45.490002,2732.251059,1271.228975
2001,"NC","New Caledonia",2532.687,1016.068165,126.714035,569.722478
2001,"NF","Forfolk Island",67.272,0.873078,2.066903,1.766836
2001,"NR","Nauru",16.25,2,6,5
2001,"NZ","New Zealand",10779.535,2592.850231,474.51588,129.631345
2001,"PF","French Polynesia",6502.497,4260.795945,747.205421,968.303179
2001,"PG","PNG",5042.418,124,238.430707,1811.670198
2001,"PH","Philippines",3385.083,0,719.945,3040.735
2001,"PW","Palau",7897.839,12.576929,822.510953,908.823946
2001,"PX","Phoenix Islands",1094.349,176.275958,459.800067,346.039965
2001,"PY","Palmyra",564.042,0.227646,103.476013,328.014554
2001,"SB","Solomon Islands",1017.961,189.776374,235.086035,230.371947
2001,"TO","Tonga",2444.324,1077.571468,186.026364,250.965193
2001,"TV","Tuvalu",677.493,108.287053,284.473066,215.051005
2001,"TW","Taiwan",7027.5,416,1646,6371
2001,"VN","Vietnam",12191.25,11,1450,8292
2001,"VU","Vanuatu",2229.397,1700.158459,79.585782,327.83004
2001,"WS","Samoa",8015.025,4820,185,470
2002,"AS","American Samoa",6800.053,5351.341891,181.969291,459.100365
2002,"AU","Australia",14089.461,539.173877,985.758251,3508.765893
2002,"CK","Cook Islands",1418.321,1118.371415,70.23274,68.409018
2002,"CN","China",12.636,2.152985,1.089987,3.520004
2002,"FJ","Fiji",12620.84,7065.630938,721.460408,1755.748089
2002,"FM","FSM",11423.633,5.001996,2264.926802,1023.787227
2002,"GL","Gilbert Islands",4490.223,78.259045,2813.054887,1700.917042
2002,"H4","HS pocket H4",330.801,46.819988,129.136712,96.906062
2002,"H5","HS pocket H5",693.298,403.99887,236.338381,156.47331
2002,"HW","Hawaii",4189.454,93.83882,1618.541919,125.385809
2002,"I1","HS1",38852.015,5.163792,4959.960788,5741.488106
2002,"I2","HS2",3683.504,691.635202,2176.210885,3940.109767
2002,"I3","HS3",19973.042,2992.597192,2269.318964,3276.576403
2002,"I4","HS4",49488.174,2465.604962,23145.614496,11580.3095
2002,"I5","HS5",50204.147,2514.533122,22137.225588,10694.277512
2002,"I6","HS6",49621.949,22792.905735,10914.352888,4790.723923
2002,"I7","HS7",15807.043,23082.154239,814.160185,795.427288
2002,"I8","HS8",1024.758,594.168578,35.978064,144.395593
2002,"I9","HS9",744.403,830.384638,24.593495,20.600862
2002,"ID","Indonesia",28023.75,0.015,4077.323,18191.72
2002,"JP","Japan",4654.337,268.39798,1452.021031,948.185982
2002,"JT","Johnston",768.19,239.147911,208.336946,49.368742
2002,"LN","Line Islands",6547.453,525.679979,3611.39396,1387.779037
2002,"MA","Mathew Hunter",3.108,0.919768,0.402785,0
2002,"MH","Marshall Islands",4631.893,17.323991,1797.770257,466.342773
2002,"NC","New Caledonia",2531.24,1164.080233,188.597215,572
2002,"NF","Forfolk Island",145.649,1.195542,3.543192,2.592284
2002,"NR","Nauru",8.75,2,3,2
2002,"NU","Niue",25,34.32,0.877,2.493
2002,"NZ","New Zealand",11196.19,2522.129561,198.342081,25.826684
2002,"PF","French Polynesia",6458.501,4556.097258,648.783805,506.94028
2002,"PG","PNG",5432.64,142,318,1738
2002,"PH","Philippines",2566.25,0,489.61,2313.503
2002,"PW","Palau",4982.215,4.024046,355.495031,465.778959
2002,"PX","Phoenix Islands",1904.826,157.532039,905.737982,613.522052
2002,"PY","Palmyra",844.535,2.766577,494.462695,253.816214
2002,"SB","Solomon Islands",3572.414,1103.969846,722.665605,1477.613237
2002,"TO","Tonga",2247.107,856.059811,166.039512,227.27483
2002,"TV","Tuvalu",1029.164,190.565001,418.441106,465.21197
2002,"TW","Taiwan",5085.417,455,1075,4572.5
2002,"VN","Vietnam",12976.25,11,614,9756
2002,"VU","Vanuatu",4067.368,2678.557991,211.845549,915.661882
2002,"WS","Samoa",7815.805,4204.524375,137,368.451131
2003,"AS","American Samoa",5445.902,3225.030334,163.311493,400.705992
2003,"AU","Australia",15182.548,470.907439,990.850796,3573.106062
2003,"CK","Cook Islands",3610.226,1805.62965,260.725967,243.422305
2003,"CN","China",2.513,0.039957,0.845997,0
2003,"FJ","Fiji",12742.088,4664.269807,603.434951,1881.785842
2003,"FM","FSM",17224.719,72.878987,4073.485622,2930.272262
2003,"GL","Gilbert Islands",3688.517,95.565033,1203.22037,921.095203
2003,"H4","HS pocket H4",621.229,149.18352,177.053157,146.644695
2003,"H5","HS pocket H5",902.806,386.552423,213.887372,139.723058
2003,"HW","Hawaii",4767.15,98.860413,1337.921132,310.114213
2003,"I1","HS1",22454.441,3.489275,2914.862132,3823.010648
2003,"I2","HS2",2714.955,471.366528,887.964896,906.716036
2003,"I3","HS3",14513.175,2150.078692,1948.404876,3224.174094
2003,"I4","HS4",63542.619,1551.208279,19393.285414,11104.968487
2003,"I5","HS5",65013.727,1886.172297,18232.925161,10469.215871
2003,"I6","HS6",54401.149,25040.341334,12103.278176,6533.043144
2003,"I7","HS7",19910.764,21549.958753,795.550264,1360.715858
2003,"I8","HS8",1789.614,951.14331,43.437089,161.998928
2003,"I9","HS9",472.39,307.445785,29.048184,42.356086
2003,"ID","Indonesia",28660.75,0,4157.3,18572.276
2003,"JP","Japan",6797.56,432.62607,1651.885965,1356.601987
2003,"JT","Johnston",420.369,112.188798,58.532909,36.427086
2003,"JV","Jarvis",104.191,51.650306,14.381199,22.70543
2003,"LN","Line Islands",4717.232,531.76357,1487.692184,1095.535313
2003,"MA","Mathew Hunter",24.812,18.219623,0.158544,1.950757
2003,"MH","Marshall Islands",7487.891,20.482989,2255.528857,895.603812
2003,"NC","New Caledonia",3454.676,1106.373718,141.868025,752.380679
2003,"NF","Forfolk Island",291.804,2.331797,8.509972,26.429396
2003,"NR","Nauru",22.5,2,10,6
2003,"NZ","New Zealand",10170.699,2936.417441,202.771522,35.704633
2003,"PF","French Polynesia",8205.655,3807.352008,437.558601,616.37432
2003,"PG","PNG",5912.031,857,390,1747
2003,"PH","Philippines",2827.083,0,519.115,2597.83
2003,"PW","Palau",4276.428,3.380012,478.735049,749.58901
2003,"PX","Phoenix Islands",1399.711,54.136842,446.022328,318.61286
2003,"PY","Palmyra",101.129,0.525609,39.248751,33.816475
2003,"SB","Solomon Islands",5222.541,992.190089,923.189288,1453.8718
2003,"TO","Tonga",2109.183,327.789054,79.597351,242.746202
2003,"TV","Tuvalu",354.414,54.260172,108.507735,82.286563
2003,"TW","Taiwan",5740,455,1149.5,5283.5
2003,"VN","Vietnam",12898.75,11,2129,8179
2003,"VU","Vanuatu",6724.204,2956.925033,387.851095,1457.541559
2003,"WS","Samoa",5470.482,2253,110,293
2004,"AS","American Samoa",4309.739,2043.430702,134.729074,661.648924
2004,"AU","Australia",11954.941,643.930358,837.189811,2265.251568
2004,"CK","Cook Islands",4624.655,2153.320572,440.864703,602.702644
2004,"CN","China",33.496,6.777043,11.313004,2.960022
2004,"FJ","Fiji",12977.428,6503.41714,597.230409,2472.092265
2004,"FM","FSM",16598.611,57.091963,3225.596575,1825.722957
2004,"GL","Gilbert Islands",2505.527,57.110806,1224.474684,821.793274
2004,"H4","HS pocket H4",534.162,110.67698,157.310201,180.374593
2004,"H5","HS pocket H5",1495.461,428.634579,688.025109,750.15031
2004,"HW","Hawaii",5152.037,69.827705,1600.203704,268.162912
2004,"I1","HS1",17706.138,7.781355,1972.19813,3687.201339
2004,"I2","HS2",3629.926,657.362578,1553.263939,2372.205051
2004,"I3","HS3",11586.367,1366.597162,1853.652835,2426.00019
2004,"I4","HS4",61298.264,748.182175,26217.675637,11309.734863
2004,"I5","HS5",64836.218,1074.307208,26427.339719,10626.97795
2004,"I6","HS6",57275.947,25044.458956,10744.906247,4450.932447
2004,"I7","HS7",17024.462,20465.232328,1084.188725,1220.886978
2004,"I8","HS8",3145.186,1563.072359,87.929541,327.379991
2004,"I9","HS9",223.228,82.21044,32.497875,22.93192
2004,"ID","Indonesia",38321.5,2.63,5549.621978,24611.372978
2004,"JP","Japan",8244.577,265.378939,1831.595001,1775.938994
2004,"JT","Johnston",639.688,83.328475,161.32539,53.783112
2004,"LN","Line Islands",7797.256,328.897298,3543.256092,2568.862452
2004,"MA","Mathew Hunter",19.386,7.668275,0.63671,1.36693
2004,"MH","Marshall Islands",5494.367,10.385989,1617.824997,488.850879
2004,"NC","New Caledonia",3487.063,1446.804121,89.098901,624.680964
2004,"NF","Forfolk Island",396.45,8.075382,22.167253,45.55988
2004,"NR","Nauru",3.75,2,0,1
2004,"NZ","New Zealand",8116.488,1246.315562,176.465841,31.031499
2004,"PF","French Polynesia",10149.995,2210.914444,500.068655,1063.147501
2004,"PG","PNG",6325.652,1681,399.21,2318.41
2004,"PH","Philippines",2133.25,0,313.225979,1968.474975
2004,"PW","Palau",4825.606,5.553012,447.249954,1027.150987
2004,"PX","Phoenix Islands",3278.66,100.84113,1302.458089,1359.824342
2004,"PY","Palmyra",298.574,0.471639,118.431508,47.841737
2004,"SB","Solomon Islands",5455.68,2466.740948,782.839027,1920.856008
2004,"TO","Tonga",1369.837,205.880924,43.723201,174.740354
2004,"TV","Tuvalu",1066.589,242.715044,235.329407,476.875442
2004,"TW","Taiwan",3982.5,463.5,617.5,3698
2004,"VN","Vietnam",17397.5,15,2781,11122
2004,"VU","Vanuatu",6648.126,4080.349364,245.988121,947.80155
2004,"WS","Samoa",3794.819,1233,104,444
2005,"AS","American Samoa",10820.496,2880.869524,131.554938,519.936598
2005,"AU","Australia",9480,719.436907,751.434465,1430.388447
2005,"CK","Cook Islands",3541.9,2290.095177,211.385123,395.186546
2005,"CN","China",7.346,0.685012,2.843012,0.640026
2005,"FJ","Fiji",9617.901,6036.335939,324.862111,1368.785508
2005,"FM","FSM",11094.771,94.430996,2885.530297,3308.483785
2005,"GL","Gilbert Islands",1621.393,21.869544,509.699198,346.880617
2005,"H4","HS pocket H4",473.645,48.283102,154.526075,89.582439
2005,"H5","HS pocket H5",546.529,95.856074,148.486395,84.927241
2005,"HW","Hawaii",6073.366,96.007823,1897.936241,342.854103
2005,"I1","HS1",12458.303,6.858377,2481.2309,3304.67391
2005,"I2","HS2",3058.334,1047.407842,751.303464,1404.347328
2005,"I3","HS3",9687.105,2170.826483,2088.180959,2562.668586
2005,"I4","HS4",53861.56,2105.822721,17737.738175,10901.000609
2005,"I5","HS5",55648.496,2361.952687,17317.900687,10063.183616
2005,"I6","HS6",51364.164,24610.222025,15113.154463,4345.814496
2005,"I7","HS7",16812.064,18302.199051,1115.897879,783.106064
2005,"I8","HS8",2419.592,1303.179029,45.103892,238.549273
2005,"I9","HS9",243.537,131.964381,10.70942,14.818481
2005,"ID","Indonesia",24878.25,2.415,3447.211068,16029.854978
2005,"JP","Japan",6192.593,302.966068,1618.49002,1634.979009
2005,"JT","Johnston",166.229,30.730907,38.277267,16.25679
2005,"LN","Line Islands",2993.422,126.694229,1262.287166,606.260619
2005,"MA","Mathew Hunter",12.064,10.251269,0.303845,1.997396
2005,"MH","Marshall Islands",5560.773,32.841031,1329.503362,733.520318
2005,"NC","New Caledonia",2857.589,1586.199614,75.6625,447.422425
2005,"NF","Forfolk Island",494,6.355325,16.229872,36.079086
2005,"NU","Niue",222.456,55,10,34
2005,"NZ","New Zealand",4279.677,601.759025,174.805255,33.088608
2005,"PF","French Polynesia",8740.74,2241.460099,563.687098,750.144139
2005,"PG","PNG",5392.581,2256,237,1222
2005,"PH","Philippines",2261.083,1.399992,341.091037,2093.810008
2005,"PW","Palau",7883.875,22.441974,1427.583022,1303.842782
2005,"PX","Phoenix Islands",2646.818,91.775087,942.024662,567.161523
2005,"PY","Palmyra",43.239,0.019912,15.703117,3.816678
2005,"SB","Solomon Islands",5066.704,2749.478345,545.134995,1563.849318
2005,"TO","Tonga",1901.179,257.720066,122.610664,215.452656
2005,"TV","Tuvalu",1506.277,301.284466,356.177749,478.29753
2005,"TW","Taiwan",4134.167,241,700,4020
2005,"VN","Vietnam",18047.5,16,3527,10895
2005,"VU","Vanuatu",9901.892,6707.196177,282.885215,1552.550305
2005,"WF","Wallis Futuna",55.985,41.39952,2.590971,20.9162
2005,"WS","Samoa",2746.94,1263,64,199
2006,"AS","American Samoa",5965,4078,181,513
2006,"AU","Australia",7959.646,2568.133985,481.728417,1796.028063
2006,"CK","Cook Islands",3199,1993.118687,150.652036,211.208698
2006,"CN","China",17.362,0.058067,9.343968,0
2006,"FJ","Fiji",9987.175,5802.148748,459.798723,1220.442413
2006,"FM","FSM",13269.309,142.632006,3580.281052,2887.445806
2006,"GL","Gilbert Islands",2540.325,28.200989,953.744872,659.971225
2006,"H4","HS pocket H4",365.148,17.362002,130.279122,88.5821
2006,"H5","HS pocket H5",822.513,172.40243,457.721332,169.795267
2006,"HW","Hawaii",6005.282,60.367165,1863.767999,340.260765
2006,"I1","HS1",17380.803,20.504074,2934.790731,4626.70253
2006,"I2","HS2",1874.825,1263.910461,521.940288,919.01697
2006,"I3","HS3",10973.073,2144.57931,1925.301964,2727.105585
2006,"I4","HS4",42951.354,453.016081,15240.788052,6964.14563
2006,"I5","HS5",48861.924,847.495027,18621.600816,7982.017897
2006,"I6","HS6",54549.39,24128.675149,13933.482797,3824.265059
2006,"I7","HS7",10955.14,14540.210832,461.784758,674.674089
2006,"I8","HS8",2118.675,1386.316767,50.655454,209.454631
2006,"I9","HS9",350.794,425.918639,6.368527,18.099896
2006,"ID","Indonesia",27583.75,0.800993,4800.208057,16827.933044
2006,"JP","Japan",7473.944,364.808061,2588.428041,1671.204984
2006,"JT","Johnston",580.757,76.780214,171.151607,71.165375
2006,"LN","Line Islands",4131.218,226.418005,2028.38381,1208.663626
2006,"MA","Mathew Hunter",13.381,3.990171,0.065401,3.039161
2006,"MH","Marshall Islands",6680.789,50.313984,1576.159329,1262.411329
2006,"NC","New Caledonia",2209.052,1356.039537,34.934599,411.108872
2006,"NF","Forfolk Island",80.079,1.073037,1.683197,3.159898
2006,"NU","Niue",376.333,259.224583,26.308536,49.569328
2006,"NZ","New Zealand",4047.103,495.746053,176.865381,2.966793
2006,"PF","French Polynesia",8295.67,2847.913025,476.188232,665.947904
2006,"PG","PNG",4665.025,1894.941009,236.954964,2215.243005
2006,"PH","Philippines",1954.083,0.335035,231.16005,1838.659969
2006,"PW","Palau",11147.622,38.635029,2979.146026,1571.334032
2006,"PX","Phoenix Islands",1693.493,47.563009,602.547566,411.726555
2006,"PY","Palmyra",309.582,0.019786,89.267168,137.217672
2006,"SB","Solomon Islands",10077.384,6539.820521,1189.966768,4143.309532
2006,"TO","Tonga",1898.201,410.928923,115.138186,226.114398
2006,"TV","Tuvalu",139.083,7.974259,35.409185,29.996604
2006,"TW","Taiwan",3368.75,234.5,424,3384
2006,"VN","Vietnam",18105,16,3538,10930
2006,"VU","Vanuatu",11119.746,8348.935448,374.526653,1882.728346
2006,"WK","Wake Island",3.788,1.773971,0.640015,0.12899
2006,"WS","Samoa",4393.391,2113,128,264
